identificacion,corte_mes,saldo
BOWGL6ZFJ8V4E620T,2024-02-29,863076
IHBDM8XWHP0LUZ7NR,2024-07-31,5327334
V2NG3GK779G8J7A0S,2023-05-31,607928
7MQU99ZO49YXI2EDE,2024-05-31,1461918
63FO2A0KBYVLDNRAA,2024-05-31,4445317
AXH5M6W00RW6A1MRV,2023-09-30,1425538
Y9LTUSGD9M83VAB0I,2023-05-31,6845657
6T645BU8TYM8VGXKO,2023-12-31,4626325
A4JYPUIFCGXQSH8XL,2023-12-31,5018047
4GM0V34SHZCQY338K,2024-07-31,3230671
KLRH1ZESF492S056H,2023-07-31,435908
6RNZ6V20ZBCHCCIPT,2024-12-31,1939308
D7UUQ6CP4DWYGZF0Z,2023-01-31,978278
977FYO2GIYKZOIEB6,2024-02-29,2941270
ZBRHGSC2D0501QLTX,2024-01-31,5631474
V1SRV6QGJWWC8JVW0,2024-03-31,3088948
FBMRRTAV36KC40D1Z,2023-09-30,5360504
7PLLCJPG8BTDR1ND3,2024-11-30,2998699
K4BAGGWMVBZXC8Z0R,2024-11-30,6804653
73LDIXZVJOQFRMHNZ,2023-07-31,5727076
15J0ZCH8C1O665RTF,2023-01-31,4748678
AERG7GPQIBQXOGOHX,2023-02-28,1013445
YVS0D5GU52ULP7YLI,2023-06-30,3941225
QNCADSU9WB6X6JEXE,2023-09-30,3351785
VZPJAHRX89B2CPA40,2024-11-30,6326148
1LFTDYT2H0I9ZG3S8,2023-05-31,3668660
G6R001Q73KLXUDPTV,2023-11-30,4446015
OCCKGZM8DIZCYX3CJ,2024-08-31,807951
OBPVWFPY1GIGMACGG,2023-08-31,2399194
XYYJ1CS2J4N0KXRG2,2024-03-31,5356869
LATSV8PKLN0G0XSCQ,2024-08-31,6384926
DWJ0GFUKS12L7Y0G9,2024-01-31,4157696
4M67RWDJ0PY180OMY,2023-04-30,1426181
977FYO2GIYKZOIEB6,2023-08-31,5106664
NYD2J0FAEI05SQVAY,2024-07-31,3624610
F5AUCVPQMIXFMLKNY,2024-10-31,965938
4HER62QO48L3HOLG6,2024-06-30,3834265
LYQEIHF686T8C6FUH,2024-03-31,6868516
K7OLAZQZTOKBXBQVR,2023-02-28,1046439
XT6P8GPRWDSJSYZKR,2023-02-28,6804066
Y9LTUSGD9M83VAB0I,2024-04-30,6675884
KCLWQ204AZ5D2W8QN,2023-01-31,356693
OQ5Y6DD3YNNZYDOK7,2023-11-30,5437249
EX2GMK7UHXBM6P2OW,2023-11-30,4658557
6N7C2M20A97S9IENG,2024-01-31,6588184
UXT0SVW2ICMQTZACJ,2023-12-31,2813639
H9QCKG6XB01NQCZO9,2023-05-31,1295247
9F27PNL29KIWUI8V1,2023-04-30,3608497
JTZWA92S5243CPZDG,2024-02-29,4457154
9IL03MCKH41ZX8EVC,2023-01-31,373044
L8NOLOQ0MHSBXLPC8,2023-01-31,2735479
R6XC1HPW2F2OYGFS2,2024-06-30,2906563
E0ZB60NF3G5K4VREU,2023-10-31,1244118
4GM0V34SHZCQY338K,2023-10-31,6934888
V4LNPTIOKCV53PIHE,2023-05-31,6986435
375WULANW2HVOVK5J,2023-10-31,6156088
FDS0N1SJL1R9K1IB4,2023-11-30,1599898
KVXACS7SB5O59ARQP,2024-01-31,5131460
6O996AT92IZ9926S5,2024-11-30,4720770
9F27PNL29KIWUI8V1,2024-09-30,1343649
FGGU9EADWBBLHKHYI,2023-01-31,2852758
OJQZJBSXV2EELB04H,2024-09-30,4303475
SUK8675QWKY38XUZB,2023-02-28,5391069
DWJ0GFUKS12L7Y0G9,2023-06-30,2933660
T16X6RLA2J523LYRZ,2023-02-28,1036130
V2NG3GK779G8J7A0S,2024-08-31,5583129
GFMBMLM8423RIAEDD,2023-02-28,4119713
OL2AN4Q8PF7T5DNJA,2023-08-31,3990928
I9WWI0Z0BQBBIKN76,2024-06-30,531746
XRD31U4F7GM99U92O,2024-12-31,1421888
6RNZ6V20ZBCHCCIPT,2024-04-30,2453535
A4LKAXWACFA995KE1,2023-12-31,1590069
KUD4O3VLEGN7O0D3B,2024-05-31,1425271
6N7C2M20A97S9IENG,2023-04-30,263950
VBCVVZPLR5KW0VKDX,2023-02-28,3921614
WLHSCECOGSRZSUK44,2023-04-30,4739182
E0ZB60NF3G5K4VREU,2024-07-31,5203791
QNCADSU9WB6X6JEXE,2024-03-31,2646343
7PLLCJPG8BTDR1ND3,2023-04-30,924182
F5AUCVPQMIXFMLKNY,2023-01-31,3294488
LYQEIHF686T8C6FUH,2024-05-31,5870077
6T645BU8TYM8VGXKO,2024-03-31,6745963
51UQ4XPBN39O7QIOO,2023-01-31,6966703
OJQZJBSXV2EELB04H,2023-10-31,764201
U01UYM0KLQO7ZMKXL,2023-02-28,6735749
7ZQT4ZSYX2JJH3BHK,2024-10-31,2407895
5CS7MKN5CCCZTYEH8,2023-01-31,4477559
OCCKGZM8DIZCYX3CJ,2023-09-30,3885345
OQ5Y6DD3YNNZYDOK7,2023-06-30,5557141
VEYQK2P1HT4EDEU8Z,2024-12-31,5554672
FXIQJ8T0RNKU5YYZL,2024-04-30,2514923
6N7C2M20A97S9IENG,2023-06-30,3090871
GFMBMLM8423RIAEDD,2023-09-30,804776
Z4HM8TL716AK8U17L,2023-09-30,1067483
RVDHIRC8T2IA2OUOW,2024-05-31,5924371
DLRDFJ40BGVP9H10W,2024-10-31,970344
V2NG3GK779G8J7A0S,2023-06-30,6951364
5SKDNN35BDFYCRZ3T,2023-03-31,1656746
9F27PNL29KIWUI8V1,2024-08-31,5326111
4M67RWDJ0PY180OMY,2023-08-31,1117539
E0ZB60NF3G5K4VREU,2024-01-31,451731
UOHQ6DHPAN7V486JH,2023-07-31,1116770
KCLWQ204AZ5D2W8QN,2024-02-29,2448105
VIOMZ3660T8XTY6RC,2024-08-31,5783930
7ZQT4ZSYX2JJH3BHK,2023-07-31,6962470
4GM0V34SHZCQY338K,2024-10-31,2038328
GFMBMLM8423RIAEDD,2023-07-31,3672769
0TTW5R9RRCJ0A9E5F,2024-10-31,992299
PQHMTD7TS2Q7AM9C6,2024-03-31,848327
RVDHIRC8T2IA2OUOW,2023-05-31,5157681
OBPVWFPY1GIGMACGG,2023-12-31,4489447
IGOQX9XYBSRDMOZXT,2023-07-31,6440379
R7Q4Z9AULIORDJQ9D,2024-01-31,3110517
A4JYPUIFCGXQSH8XL,2023-11-30,576597
3QWPW0GFU2JIA5UE4,2024-01-31,5918502
F5AUCVPQMIXFMLKNY,2024-07-31,5363345
KIULTEGOP4LWPVDNF,2024-06-30,4488942
FA2OC6FGIMI4S37PU,2024-11-30,815818
X4YOXMSTBUXXCUOGK,2023-09-30,1420115
LMHCV45KAJNLAV6CI,2024-09-30,1176285
AXH5M6W00RW6A1MRV,2024-08-31,161374
DLRDFJ40BGVP9H10W,2023-04-30,1620653
9F27PNL29KIWUI8V1,2024-12-31,5357559
9NWFWJ38XN31WBFXG,2023-05-31,1994283
OQ5Y6DD3YNNZYDOK7,2023-08-31,3306924
LYQEIHF686T8C6FUH,2024-02-29,5608669
U5I6FRV4Z2WTHAYXA,2023-06-30,6901773
DWJ0GFUKS12L7Y0G9,2023-02-28,200124
GTLAUQABS3K1IHWCJ,2024-08-31,3450009
Y6PZ8ICUVSNUUVGC6,2024-08-31,1125108
HDTGP1H5F336COXZX,2024-10-31,6657395
OEZ236PKMC6MBM3TB,2024-10-31,2121699
U01UYM0KLQO7ZMKXL,2023-05-31,2106373
GFMBMLM8423RIAEDD,2024-01-31,4521655
0TQ17VI65FDDKT227,2024-06-30,4917571
XT6P8GPRWDSJSYZKR,2024-01-31,2872483
9G2XZ3XNAY7J6KTJN,2023-07-31,555602
6T645BU8TYM8VGXKO,2024-04-30,4849782
THJ9OBJH3W6ANRCMS,2024-02-29,6436430
MUIZHHC8NUPU3856X,2023-05-31,1942290
8JB7CPERPX344FYNY,2024-01-31,5509910
51UQ4XPBN39O7QIOO,2023-11-30,1139479
THJ9OBJH3W6ANRCMS,2023-04-30,3421599
G6R001Q73KLXUDPTV,2024-01-31,5605090
Z4HM8TL716AK8U17L,2024-09-30,2254752
Y6PZ8ICUVSNUUVGC6,2024-07-31,5002215
Y144TELK1D0Z0KLVV,2023-02-28,3628537
15J0ZCH8C1O665RTF,2024-04-30,3438753
XT6P8GPRWDSJSYZKR,2023-07-31,6459790
FDS0N1SJL1R9K1IB4,2023-10-31,1817138
FXIQJ8T0RNKU5YYZL,2023-06-30,1717212
DLRDFJ40BGVP9H10W,2023-01-31,618659
IAXUMLO4Y4HXEEHHC,2024-08-31,4207599
FBMRRTAV36KC40D1Z,2023-06-30,3629641
DWJ0GFUKS12L7Y0G9,2023-01-31,3901650
Y9LTUSGD9M83VAB0I,2024-11-30,5108549
LYQEIHF686T8C6FUH,2024-04-30,3412661
ORSVN3W6R6KI4L6K7,2023-07-31,3527336
BJSA6PK9IP3QNY0GU,2023-08-31,3868113
A4LKAXWACFA995KE1,2024-04-30,5970775
LMHCV45KAJNLAV6CI,2024-02-29,5491139
V4LNPTIOKCV53PIHE,2024-05-31,6292761
OJQZJBSXV2EELB04H,2023-08-31,4537070
KVXACS7SB5O59ARQP,2023-12-31,6320045
LYQEIHF686T8C6FUH,2024-08-31,6955057
1MFXZRYV4MFOBXIAJ,2023-10-31,6336687
VNTN2FOUQHBSVRLKZ,2024-05-31,4488661
9IL03MCKH41ZX8EVC,2024-05-31,4142779
1MFXZRYV4MFOBXIAJ,2024-03-31,1979831
FXIQJ8T0RNKU5YYZL,2024-01-31,6446394
V4LNPTIOKCV53PIHE,2023-07-31,5567445
MHREEFELDOONUMCHP,2024-06-30,3292420
4HER62QO48L3HOLG6,2023-03-31,3260930
AIQASN1W6XH7O9AI8,2024-07-31,4993138
UXT0SVW2ICMQTZACJ,2024-11-30,6356741
VIOMZ3660T8XTY6RC,2024-09-30,523539
FBMRRTAV36KC40D1Z,2024-04-30,1447097
LMHCV45KAJNLAV6CI,2023-12-31,4216444
FBMRRTAV36KC40D1Z,2024-09-30,6551535
FQJP2PBU50DG45YX3,2024-06-30,656366
IC9TR053SOF1562RK,2023-12-31,635943
XYYJ1CS2J4N0KXRG2,2024-12-31,1292756
83Y10YDW1OI06N9ZM,2024-08-31,5059722
375WULANW2HVOVK5J,2023-03-31,3645986
BQLAQGMLUN5Y6VU3U,2023-07-31,3388774
OCCKGZM8DIZCYX3CJ,2024-03-31,4706506
K4BAGGWMVBZXC8Z0R,2023-07-31,2984591
977FYO2GIYKZOIEB6,2024-08-31,4617662
IGOQX9XYBSRDMOZXT,2024-10-31,5688013
V1SRV6QGJWWC8JVW0,2024-02-29,5059409
MGD1S17DROU71KI80,2024-04-30,4551065
K4BAGGWMVBZXC8Z0R,2023-01-31,4870695
GFMBMLM8423RIAEDD,2023-10-31,2051645
RRS0030J6RHTUQ2RK,2024-09-30,2845033
XYYJ1CS2J4N0KXRG2,2023-07-31,6508960
KIULTEGOP4LWPVDNF,2023-10-31,5574022
VU97XYAGZZS7LOG4E,2023-12-31,5464138
ORSVN3W6R6KI4L6K7,2023-08-31,6463497
7MQU99ZO49YXI2EDE,2024-01-31,6891937
H9QCKG6XB01NQCZO9,2023-03-31,2039351
WI9LBMXJ0YIBEJ357,2023-12-31,2204389
9IL03MCKH41ZX8EVC,2024-01-31,725679
BJSA6PK9IP3QNY0GU,2023-04-30,6043770
THJ9OBJH3W6ANRCMS,2023-11-30,2959641
ZBRHGSC2D0501QLTX,2023-12-31,3039
H9QCKG6XB01NQCZO9,2023-10-31,4566124
KVXACS7SB5O59ARQP,2023-03-31,4516923
9DQS2WEXYFKHTNXUB,2024-06-30,777236
IGOQX9XYBSRDMOZXT,2023-06-30,148659
E0P3U76BSR8JVOEAS,2024-12-31,2981164
G6R001Q73KLXUDPTV,2024-06-30,2144817
0TTW5R9RRCJ0A9E5F,2024-03-31,2068512
8JB7CPERPX344FYNY,2024-12-31,2525065
RVDHIRC8T2IA2OUOW,2024-01-31,2415155
BQLAQGMLUN5Y6VU3U,2023-10-31,1938767
IAXUMLO4Y4HXEEHHC,2023-08-31,2725829
ORSVN3W6R6KI4L6K7,2023-02-28,2334454
Y9LTUSGD9M83VAB0I,2024-09-30,3370616
J899WRG0VOOF1WON0,2024-06-30,5790475
PEYORPWSHOAUXOPB8,2023-11-30,2207465
L8NOLOQ0MHSBXLPC8,2023-09-30,2223639
K2DBNBQ09G1QCCD7W,2024-05-31,5631541
ZBRHGSC2D0501QLTX,2024-04-30,4590795
5VVHS1PF81H0K03QN,2024-06-30,5871239
VIOMZ3660T8XTY6RC,2024-02-29,4046848
DJXLPRMY5ZZMANLU6,2023-10-31,5584607
PQHMTD7TS2Q7AM9C6,2024-04-30,4958329
51UQ4XPBN39O7QIOO,2023-09-30,2258237
WLHSCECOGSRZSUK44,2023-11-30,2883450
7MQU99ZO49YXI2EDE,2024-03-31,2328240
9IL03MCKH41ZX8EVC,2023-04-30,6941723
PSRCQ6DW4S2N7175C,2024-08-31,248597
OQ5Y6DD3YNNZYDOK7,2024-02-29,2253252
83Y10YDW1OI06N9ZM,2023-05-31,4012110
XT6P8GPRWDSJSYZKR,2023-11-30,5860459
T16X6RLA2J523LYRZ,2024-10-31,6913323
XRD31U4F7GM99U92O,2024-04-30,3288427
LYQEIHF686T8C6FUH,2024-06-30,6333221
LYQEIHF686T8C6FUH,2024-09-30,6151197
977FYO2GIYKZOIEB6,2023-01-31,5112246
1LFTDYT2H0I9ZG3S8,2024-02-29,3496332
5CS7MKN5CCCZTYEH8,2023-04-30,185500
9F27PNL29KIWUI8V1,2024-06-30,4675003
UXT0SVW2ICMQTZACJ,2023-11-30,4846762
63FO2A0KBYVLDNRAA,2023-08-31,1113759
LYQEIHF686T8C6FUH,2023-09-30,5296191
X4YOXMSTBUXXCUOGK,2023-05-31,5535515
KIULTEGOP4LWPVDNF,2024-04-30,1632921
V2NG3GK779G8J7A0S,2023-10-31,6260144
D0HW4TD0CUW9XJQPX,2024-06-30,3637526
NYD2J0FAEI05SQVAY,2023-01-31,3179457
6RNZ6V20ZBCHCCIPT,2024-05-31,4017697
6RNZ6V20ZBCHCCIPT,2023-01-31,1436179
DJXLPRMY5ZZMANLU6,2024-09-30,5355148
6N7C2M20A97S9IENG,2023-01-31,1650543
AXH5M6W00RW6A1MRV,2024-06-30,3112924
4TL0TI5WAALM6P0AH,2024-06-30,6382008
BOWGL6ZFJ8V4E620T,2023-02-28,3677270
MHREEFELDOONUMCHP,2024-05-31,3760266
R6XC1HPW2F2OYGFS2,2023-02-28,5070946
0TTW5R9RRCJ0A9E5F,2023-10-31,2413195
GFMBMLM8423RIAEDD,2024-02-29,3555524
HDTGP1H5F336COXZX,2024-09-30,1699311
Y9LTUSGD9M83VAB0I,2024-02-29,1739282
SSP73CDZATG8LX9V1,2023-06-30,4105385
V4LNPTIOKCV53PIHE,2024-03-31,4593499
FDS0N1SJL1R9K1IB4,2024-12-31,6818697
ITDKGZGY3D1CQ22P4,2023-01-31,1827670
SKH4GHZSBWP3QGNNK,2023-02-28,4112322
MGD1S17DROU71KI80,2024-02-29,705007
BJSA6PK9IP3QNY0GU,2024-12-31,890403
7AQPGU50TED28A7G6,2023-05-31,6969785
AIQASN1W6XH7O9AI8,2024-05-31,6410852
9G2XZ3XNAY7J6KTJN,2024-02-29,5912774
VHX791SAUG7W7R63P,2023-04-30,6777865
MGD1S17DROU71KI80,2024-11-30,5396650
OQ5Y6DD3YNNZYDOK7,2024-03-31,6047930
U01UYM0KLQO7ZMKXL,2024-04-30,3277160
R7Q4Z9AULIORDJQ9D,2023-09-30,932058
V2NG3GK779G8J7A0S,2023-01-31,1668668
GFMBMLM8423RIAEDD,2024-09-30,1726718
